disasterNo,year,seq,group,subgroup_id,type_id,subtype,eventName,country,iso,region_id,continent_id,location,startYear,startMonth,startDay,endYear,endMonth,endDay,totalDeaths,injured,Affected,homeless,totalAffected,damageCost
2000-0601-KOR,2000,601,Natural,Meteorological,Storm,Tropical cyclone,Saomai,Korea (the Republic of),KOR,EasternAsia,Asia,"Kyongsangbuk-do, Kyongsangnam-do provinces",2000,9,16,2000,9,16,8,,,411,411,71000
2000-0441-KOR,2000,441,Natural,Hydrological,Flood,,,Korea (the Republic of),KOR,EasternAsia,Asia,"Pyongtaek area (Kyonggi-do province), Seoul province",2000,7,22,2000,7,22,13,3,,2586,2589,23000
2000-0583-LAO,2000,583,Natural,Hydrological,Flood,,,Lao People's Democratic Republic (the),LAO,South-EasternAsia,Asia,"Louang-Namtha, Bolikhamxai, Khammouan, Savannakhet, Champasak, Salavan, Vientiane, Vientiane capital province",2000,9,,2000,9,,15,,450000,,450000,1000
2000-0741-LKA,2000,741,Natural,Hydrological,Flood,Riverine flood,,Sri Lanka,LKA,SouthernAsia,Asia,"Ampara, Batticaloa districts (Eastern province), Polonnaruwa district (North Central province)",2000,11,18,2000,11,22,3,,300000,,300000,3000
2000-0643-MEX,2000,643,Natural,Meteorological,Storm,Tropical cyclone,Keith,Mexico,MEX,CentralAmerica,Americas,"Puebla, Campeche, Quintana Roo, Yucatan, Veracruz, Chiapas, Oaxaca, Tabasco, Tamaulipas provinces",2000,9,29,2000,10,3,23,,30000,,30000,1000
2000-0012-MOZ,2000,12,Natural,Hydrological,Flood,Riverine flood,,Mozambique,MOZ,EasternAfrica,Africa,"Matutuine, Manhica, Magude, Marracuene districts (Maputo province), Chibuto, Chokwe, Mabalane districts (Gaza Province), Inhambane, Sofala, Manica, Tete provinces",2000,1,26,2000,3,27,800,,4500000,,4500000,419200
2000-0107-MOZ,2000,107,Natural,Meteorological,Storm,Tropical cyclone,"Eline, Gloria",Mozambique,MOZ,EasternAfrica,Africa,"Cabo Delgado, Gaza, Inhambane, Manica, Nampula, Niassa, Sofala, Tete, Zambezia, Maputo, Lago niassa provinces",2000,2,18,2000,2,23,17,,,,,1000
2000-0774-MYS,2000,774,Natural,Hydrological,Flood,Flash flood,,Malaysia,MYS,South-EasternAsia,Asia,"Kuala Krai, Pasir Puteh, Kota Bharu, Pasir Mas, Tumpat districts (Kelantan province), Kubang Pasu, Kota Setar, Padang Terap districts (Kedah province), Besut district (Terengganu province)",2000,11,21,2000,12,1,12,,8000,,8000,1000
2000-0644-NIC,2000,644,Natural,Meteorological,Storm,Tropical cyclone,Keith,Nicaragua,NIC,CentralAmerica,Americas,"Léon, Chinandega, Managua, Granada, Rivas provinces",2000,9,29,2000,10,3,1,,2300,,2300,1000
2000-0476-NPL,2000,476,Natural,Hydrological,Flood,,,Nepal,NPL,SouthernAsia,Asia,"Dhading, Lalitpur areas (Bagmati district, Central province), Dolakha, Sarlahi areas (Janakpur district, Central province), Makwanpur, Parsa, Rautahat areas (Narayani district, Central province), Bhojpur, Morang, Sunsari, Terhathum areas (Koshi district, Eastern province), Siraha, Saptari areas (Sagarmatha district, Eastern province), Baitadi, Darchula areas (Mahakali district, Far Western province), Kailali area (Seti district, Far Western province), Banke, Dailekh areas (Bheri district, Mid Western province), Salyan area (Rapti district, Mid Western province), Baglung area (Dhawalagiri district, Western province), Argakhachi area (Lumbini district, Western province), Gorkha, Lamjung, Tanahu, Kaski areas (Gandaki district, Western province), Mechi district (Eastern province)",2000,6,,2000,6,,144,70,50000,,50070,6300
